"1,Harvard University"
"901-1000,Czech University of Life Sciences Prague"
"901-1000,Dalian Maritime University"
"901-1000,Ecole Normale Super Cachan"
"901-1000,Ege University"
"901-1000,Federal University of Bahia"
"901-1000,Federal University of Pará"
"901-1000,Federico Santa María Technical University"
"901-1000,Fırat University"
"901-1000,Florida Atlantic University"
"901-1000,Fluminense Federal University"
"901-1000,Fujian Medical University"
"901-1000,Guangxi University"
"901-1000,Guangzhou University"
"901-1000,Gwangju Institute of Science and Technology"
"901-1000,Indian Institute of Technology Roorkee"
"901-1000,Inje university"
"901-1000,Kagoshima University"
"901-1000,Kindai University"
"901-1000,Kunming University of Science and Technology"
"901-1000,Kyushu Institute of Technology"
"901-1000,Lakehead University"
"901-1000,Lappeenranta University of Technology"
"901-1000,Lulea University of Technology"
"901-1000,Medical University of Silesia"
"901-1000,Middlesex University"
"901-1000,Nantong University"
"901-1000,National Chung Hsing University"
"901-1000,National Polytechnic Institute of Toulouse"
"901-1000,National Research University Higher School of Economics"
"901-1000,National Taiwan University of Science and Technology"
"901-1000,New Jersey Institute of Technology"
"901-1000,New Mexico State University"
"901-1000,NHH - Norwegian School of Economics"
"901-1000,Nicolaus Copernicus University"
"901-1000,Nihon University"
"901-1000,Northumbria University"
"901-1000,Rio de Janeiro State University"
"901-1000,Roma Tre University"
"901-1000,Ryerson University"
"901-1000,Semmelweis University"
"901-1000,Shahid Beheshti University"
"901-1000,Shandong Normal University"
"901-1000,Shiraz University"
"901-1000,Shizuoka University"
"901-1000,Sofia University"
"901-1000,Sogang University"
"901-1000,Southern Cross University"
"901-1000,Toho University"
"901-1000,Tokyo Metropolitan University"
"901-1000,Ton Duc Thang University"
"901-1000,Union College"
"901-1000,Universidade Federal de Mato Grosso do Sul"
"901-1000,University of Alcalá"
"901-1000,University of Angers"
"901-1000,University of Bucharest"
"901-1000,University of Chieti-Pescara"
"901-1000,University of Debrecen"
"901-1000,University of Denver"
"901-1000,University of Hull"
"901-1000,University of Ibadan"
"901-1000,University of Insubria"
"901-1000,University of Las Palmas de Gran Canaria"
"901-1000,University of Los Andes (Colombia)"
"901-1000,University of Massachusetts Boston"
"901-1000,University of Mons"
"901-1000,University of Neuchatel"
"901-1000,University of New Orleans"
"901-1000,University of North Carolina at Charlotte"
"901-1000,University of Novi Sad"
"901-1000,University of Patras"
"901-1000,University of Salento"
"901-1000,University of Salzburg"
"901-1000,University of South Bohemia"
"901-1000,University of Stirling"
"901-1000,University of Tabriz"
"901-1000,University of Thessaly"
"901-1000,University of Toyama"
"901-1000,University of Yamanashi"
"901-1000,Vellore Institute of Technology"
"901-1000,Williams College"
"901-1000,Worcester Polytechnic Institute"
"901-1000,Wroclaw University of Technology"
"901-1000,Yokohama National University"
"901-1000,Zagazig University"
